title,artist,year,decade,categories,social_singing,original_vocal,possible_duplicate,match_confidence,needs_review,notes,raw_input
Stay With Me,Sam Smith,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-04 - Sam Smith - Stay With Me.mp3
Fancy,Iggy Azalea Feat. Charli XCX,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-05 - Iggy Azalea Feat. Charli XCX - Fancy.mp3
You And I,One Direction,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-06 - One Direction - You And I.cdg
You And I,One Direction,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-06 - One Direction - You And I.mp3
West Coast,Lana Del Rey,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-07 - Lana Del Rey - West Coast.mp3
Touch,Shift K3Y,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-08 - Shift K3Y - Touch.cdg
Touch,Shift K3Y,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-08 - Shift K3Y - Touch.mp3
A Billion Girls,Elyar Fox,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-09 - Elyar Fox - A Billion Girls.mp3
I Will Never Let You Down,Rita Ora Feat. Calvin Harris,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-10 - Rita Ora Feat. Calvin Harris - I Will Never Let You Down.mp3
G.u.y,Lady Gaga,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-11 - Lady Gaga - G.U.Y.cdg
G.u.y,Lady Gaga,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-11 - Lady Gaga - G.U.Y.mp3
Anywhere For You,John Martin,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-12 - John Martin - Anywhere For You.mp3
Holding Onto Heaven,Foxes,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-13 - Foxes - Holding Onto Heaven.cdg
Holding Onto Heaven,Foxes,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-13 - Foxes - Holding Onto Heaven.mp3
Our Time,Lily Allen,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-14 - Lily Allen - Our Time.mp3
Summer,Calvin Harris,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-15 - Calvin Harris - Summer.cdg
Summer,Calvin Harris,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-15 - Calvin Harris - Summer.mp3
Salute,Little Mix,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-16 - Little Mix - Salute.cdg
Salute,Little Mix,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-16 - Little Mix - Salute.mp3
Birthday,Katy Perry,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-17 - Katy Perry - Birthday.cdg
Birthday,Katy Perry,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-17 - Katy Perry - Birthday.mp3
Fever,Black Keys,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF339 - Sunfly Hits Karaoke - May 2014 - KaraokeRG\SF339-18 - Black Keys - Fever.mp3
Love Never Felt So Good,Michael Jackson & Justin Timberlake,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-01 - Michael Jackson & Justin Timberlake - Love Never Felt So Good.mp3
Sky Full Of Stars,Coldplay,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-02 - Coldplay - Sky Full Of Stars.cdg
Sky Full Of Stars,Coldplay,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-02 - Coldplay - Sky Full Of Stars.mp3
Good Kisser,Usher,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-03 - Usher - Good Kisser.mp3
Let Me Down Easy,Paolo Nutini,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-04 - Paolo Nutini - Let Me Down Easy.mp3
Waves (Robin Schulz Radio Edit),Mr. Probz,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; kept Robin Schulz Radio Edit as version tag; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-05 - Mr. Probz - Waves (Robin Schulz Radio Edit).cdg
Waves (Robin Schulz Radio Edit),Mr. Probz,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; kept Robin Schulz Radio Edit as version tag; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-05 - Mr. Probz - Waves (Robin Schulz Radio Edit).mp3
No Rest For The Wicked,Lykke Li,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-06 - Lykke Li - No Rest For The Wicked.mp3
Here For You,Gorgon City Ft Laura Welsh,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-07 - Gorgon City Ft Laura Welsh - Here For You.cdg
Here For You,Gorgon City Ft Laura Welsh,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-07 - Gorgon City Ft Laura Welsh - Here For You.mp3
Only Love Can Hurt Like This,Paloma Faith,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-08 - Paloma Faith - Only Love Can Hurt Like This.cdg
Only Love Can Hurt Like This,Paloma Faith,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-08 - Paloma Faith - Only Love Can Hurt Like This.mp3
Extraordinary,Clean Bandit Ft Sharma Bass,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-09 - Clean Bandit Ft Sharma Bass - Extraordinary.mp3
Take Me Home,Cash Cash Ft Bebe Rexha,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-10 - Cash Cash Ft Bebe Rexha - Take Me Home.cdg
Take Me Home,Cash Cash Ft Bebe Rexha,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-10 - Cash Cash Ft Bebe Rexha - Take Me Home.mp3
Hearts On Fire,Passenger,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-11 - Passenger - Hearts On Fire.mp3
Dare,Shakira,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed bracketed junk; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-12 - Shakira - Dare (La La La).mp3
Beating Heart,Ellie Goulding,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-13 - Ellie Goulding - Beating Heart.cdg
Beating Heart,Ellie Goulding,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-13 - Ellie Goulding - Beating Heart.mp3
Calm After The Storm,Common Linnets,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed bracketed junk; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-14 - Common Linnets - Calm After The Storm (Eurovision 2014).mp3
Still,Katy B,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-15 - Katy B - Still.mp3
I Was Gonna Cancel,Kylie Minogue,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-16 - Kylie Minogue - I Was Gonna Cancel.mp3
Don't Stop,5 Seconds Of Summer,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-17 - 5 Seconds Of Summer - Don't Stop.cdg
Don't Stop,5 Seconds Of Summer,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-17 - 5 Seconds Of Summer - Don't Stop.mp3
Rise Like A Phoenix,Conchita Wurst,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed bracketed junk; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-18 - Conchita Wurst - Rise Like A Phoenix (Eurovision 2014).cdg
Rise Like A Phoenix,Conchita Wurst,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed bracketed junk; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF340 Sunfly Hits Karaoke - June 2014 - KaraokeRG\SF340-18 - Conchita Wurst - Rise Like A Phoenix (Eurovision 2014).mp3
Ghost,Ella Henderson,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-01 - Ella Henderson - Ghost.cdg
Ghost,Ella Henderson,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-01 - Ella Henderson - Ghost.mp3
Budapest,George Ezra,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-02 - George Ezra - Budapest.cdg
Budapest,George Ezra,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-02 - George Ezra - Budapest.mp3
Snap Out Of It,Arctic Monkeys,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-03 - Arctic Monkeys - Snap Out Of It.mp3
Let Me Down Gently,La Roux,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-04 - La Roux - Let Me Down Gently.mp3
Gecko,Oliver Heldens & Becky Hill,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed bracketed junk; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-05 - Oliver Heldens & Becky Hill - Gecko (Overdrive).mp3
Right Here,Jess Glynne,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-06 - Jess Glynne - Right Here.cdg
Right Here,Jess Glynne,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-06 - Jess Glynne - Right Here.mp3
Eez Eh,Kasabian,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-07 - Kasabian - Eez-Eh.cdg
Eez Eh,Kasabian,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-07 - Kasabian - Eez-Eh.mp3
Problem,Ariana Grande Ft Iggy Azalea,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-08 - Ariana Grande Ft Iggy Azalea - Problem.cdg
Problem,Ariana Grande Ft Iggy Azalea,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-08 - Ariana Grande Ft Iggy Azalea - Problem.mp3
Bad Blood,Bastille,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-09 - Bastille - Bad Blood.cdg
Bad Blood,Bastille,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-09 - Bastille - Bad Blood.mp3
Louder,Neon Jungle,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-10 - Neon Jungle - Louder.mp3
Crazy Stupid Love,Cheryl Cole Ft Tinie Tempah,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-11 - Cheryl Cole Ft Tinie Tempah - Crazy Stupid Love.cdg
Crazy Stupid Love,Cheryl Cole Ft Tinie Tempah,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-11 - Cheryl Cole Ft Tinie Tempah - Crazy Stupid Love.mp3
Robbers,,,,,,,Yes,Low,Yes,removed path fragments; removed file extension; removed machine code; removed leading catalog section; could not confidently separate artist/title; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-12 - 1975 - Robbers.mp3
Wiggle,Jason Derulo Ft Snoop Dogg,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-13 - Jason Derulo Ft Snoop Dogg - Wiggle.mp3
Your Love,Nicole Scherzinger,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-14 - Nicole Scherzinger - Your Love.mp3
It's My Birthday,Will.I.Am,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-15 - Will.I.Am - It's My Birthday.mp3
Dangerous Love,Fuse ODG Ft Sean Paul,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-16 - Fuse ODG Ft Sean Paul - Dangerous Love.cdg
Dangerous Love,Fuse ODG Ft Sean Paul,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-16 - Fuse ODG Ft Sean Paul - Dangerous Love.mp3
Neon Lights,Demi Lovato,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-17 - Demi Lovato - Neon Lights.mp3
Heart And Soul,Twin Atlantic,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-18 - Twin Atlantic - Heart And Soul.cdg
Heart And Soul,Twin Atlantic,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF341 - Sunfly Hits July 2014 - KaraokeRG\SF341-18 - Twin Atlantic - Heart And Soul.mp3
Somebody To You,Vamps & Demi Lovato,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF342 - Sunfly Hits August 2014  (Re-Post) - KaraokeRG\SF342-01 - Vamps & Demi Lovato - Somebody To You.mp3
Don't,Ed Sheeran,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF342 - Sunfly Hits August 2014  (Re-Post) - KaraokeRG\SF342-02 - Ed Sheeran - Don't.mp3
Tonight (We Live Forever),Union J,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; kept We Live Forever as version tag; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF342 - Sunfly Hits August 2014  (Re-Post) - KaraokeRG\SF342-03 - Union J - Tonight (We Live Forever).mp3
Love Runs Out,OneRepublic,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF342 - Sunfly Hits August 2014  (Re-Post) - KaraokeRG\SF342-04 - OneRepublic - Love Runs Out.cdg
Love Runs Out,OneRepublic,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF342 - Sunfly Hits August 2014  (Re-Post) - KaraokeRG\SF342-04 - OneRepublic - Love Runs Out.mp3
Maps,Maroon,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF342 - Sunfly Hits August 2014  (Re-Post) - KaraokeRG\SF342-05 - Maroon 5 - Maps.cdg
Maps,Maroon,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF342 - Sunfly Hits August 2014  (Re-Post) - KaraokeRG\SF342-05 - Maroon 5 - Maps.mp3
Chandelier,Sia,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF342 - Sunfly Hits August 2014  (Re-Post) - KaraokeRG\SF342-06 - Sia - Chandelier.cdg
Chandelier,Sia,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF342 - Sunfly Hits August 2014  (Re-Post) - KaraokeRG\SF342-06 - Sia - Chandelier.mp3
What Are You Waiting For,Saturdays,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF342 - Sunfly Hits August 2014  (Re-Post) - KaraokeRG\SF342-07 - Saturdays - What Are You Waiting For.mp3
Make The World Go Round,DJ Cassidy & R. Kelly,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF342 - Sunfly Hits August 2014  (Re-Post) - KaraokeRG\SF342-08 - DJ Cassidy & R. Kelly - Make The World Go Round.mp3
Black Widow,Iggy Azalea & Rita Ora,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF342 - Sunfly Hits August 2014  (Re-Post) - KaraokeRG\SF342-09 - Iggy Azalea & Rita Ora - Black Widow.mp3
Shades Of Cool,Lana Del Rey,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF342 - Sunfly Hits August 2014  (Re-Post) - KaraokeRG\SF342-10 - Lana Del Rey - Shades Of Cool.mp3
Me And My Broken Heart,Rixton,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF342 - Sunfly Hits August 2014  (Re-Post) - KaraokeRG\SF342-11 - Rixton - Me And My Broken Heart.cdg
Me And My Broken Heart,Rixton,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF342 - Sunfly Hits August 2014  (Re-Post) - KaraokeRG\SF342-11 - Rixton - Me And My Broken Heart.mp3
Amnesia,5 Seconds Of Summer,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF342 - Sunfly Hits August 2014  (Re-Post) - KaraokeRG\SF342-12 - 5 Seconds Of Summer - Amnesia.mp3
Glorious,Foxes,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF342 - Sunfly Hits August 2014  (Re-Post) - KaraokeRG\SF342-13 - Foxes - Glorious.mp3
Am I Wrong,Nico & Vinz,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF342 - Sunfly Hits August 2014  (Re-Post) - KaraokeRG\SF342-14 - Nico & Vinz - Am I Wrong.cdg
Am I Wrong,Nico & Vinz,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF342 - Sunfly Hits August 2014  (Re-Post) - KaraokeRG\SF342-14 - Nico & Vinz - Am I Wrong.mp3
